id,name,host_id,host_name,neighbourhood,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,reviews_per_month,number_of_reviews,last_review,calculated_host_listings_count,availability_365
27934,Nice room with superb city view,120437,Nuttee,"Samsen Nai, Bangkok, Thailand",Ratchathewi,13.75983,100.54134,Entire home/apt,2020,3,0.43,64,1/6/2020,2,362
27979,"Easy going landlord,easy place",120541,Emy,,Bang Na,13.66818,100.61674,Private room,,1,,0,,2,0
28745,modern-style apartment in Bangkok,123784,Familyroom,"Bangkok, Thailand",Bang Kapi,13.75232,100.62402,Private room,,60,,0,,1,0
55681,Sathorn Terrace Apartment(61),263049,Tor,,Bang Rak,13.71934,100.5176,Private room,1150,2,0.21,34,4/17/2024,7,356
35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,"Bangkok, Thailand",Din Daeng,13.78823,100.57256,Private room,1286,14,0.06,6,5/22/2024,1,309
55686,Comfy bedroom near River pier & BTS  Taksin.,263049,Tor,"Khet Bang Rak, Bangkok, Thailand",Sathon,13.71802,100.51539,Hotel room,1384,2,1.29,210,3/24/2024,7,365
48736,Condo with Chaopraya River View,222005,Athitaya,,Rat Burana,13.68556,100.49535,Private room,1653,3,0.01,1,2/3/2014,1,365
61000,Apt.@Pinklao near shopping mall,294896,Kate,,Bang Phlat,13.78085,100.47526,Entire home/apt,1102,30,0.01,2,12/19/2021,2,362
62217,Luxury@swimpool/FreeWiFi/nearJJMkt,302658,Srisuk,,Phaya Thai,13.79152,100.53982,Private room,,1,,0,,1,0
976690,Beautiful 1 BR apartment @BTS Ari,5344120,Nattavut,,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,15,0.66,90,11/15/2022,4,336
978969,"60 m2 apartment in Thong Lor, Bangkok",5358785,Danny,"Bangkok, Thailand",Vadhana,13.73224,100.57803,Entire home/apt,1726,4,0.05,6,1/1/2023,1,364
988373,BangLuang House 2@ Bangkok Thailand,5325919,วสวัตติ์,"Bangkok, Krung Thep Maha Nakhon, Thailand",Phasi Charoen,13.73122,100.46228,Entire home/apt,2000,1,0.88,120,6/3/2024,3,357
69046,"Cozy and spacious 1BR with great view, LT rent",272478,Jean,,Chatu Chak,13.80956,100.56378,Entire home/apt,1543,90,0.11,18,5/9/2018,1,358
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,"Bangkok, Thailand",Khlong Toei,13.73378,100.56303,Entire home/apt,6024,28,0.95,147,1/7/2020,1,362
113744,River View - Ivy Condo (1 Bedroom),578110,Muay,,Rat Burana,13.68568,100.49231,Private room,1469,30,,0,,1,365
1016487,Private room in Bangkok,5594281,Yodying,,Chatu Chak,13.82148,100.58326,Private room,,30,,0,,1,0
121410,"MetroPoint Suite Room, Near Airport",610315,Kasem,,Bang Kapi,13.76747,100.63287,Private room,1190,1,0.35,6,4/15/2024,3,365
